Rechnung_ID,Produktart,Produkthersteller,Kaufdatum,Anzahl,Preis,Kunden_ID,Alter,Geschlecht,Wohnort,Kanalpräferenz,Rabattnutzung
R10350000,Mikrowelle,LG,2016-12-06,1,302.39,1035,31,Männlich,Laatzen,Online_App,Nein
R10350000,Drucker,Brother,2016-12-06,1,154.51,1035,31,Männlich,Laatzen,Online_App,Nein
R10360001,Business-Laptop,HP,2016-02-18,1,2244.0,1036,50,Weiblich,Erfurt,Store,Ja
R10360000,Kabel,,2016-03-21,1,57.25,1036,50,Weiblich,Erfurt,Store,Ja
R10360001,Spiegelreflexkamera,Sony,2016-02-18,1,1886.89,1036,50,Weiblich,Erfurt,Store,Nein
R10360000,Tablet,Apple,2016-03-21,1,171.59,1036,50,Weiblich,Erfurt,Store,Nein
R10360001,Mikrowelle,Samsung,2016-02-18,1,193.99,1036,50,Weiblich,Erfurt,Store,Nein
R10360001,In-Ear Kopfhörer,LG,2016-02-18,1,88.19,1036,50,Weiblich,Erfurt,Store,Nein
R10360000,Heimkino System,LG,2016-03-21,1,1047.0,1036,50,Weiblich,Erfurt,Store,Ja
R10370001,Bluetooth Lautsprecher,JBL,2016-05-20,1,341.69,1037,39,Weiblich,Northeim,Store,Nein
R10370000,Bluetooth Lautsprecher,JBL,2016-07-29,1,304.49,1037,39,Weiblich,Northeim,Store,Nein
R10370000,PC-Spiel,Konami,2016-07-29,1,40.79,1037,39,Weiblich,Northeim,Store,Ja
R10370000,Bügeleisen,Braun,2016-07-29,1,549.02,1037,39,Weiblich,Northeim,Store,Ja
R10380000,Elektrische Zahnbürste,Philips,2016-02-21,1,66.39,1038,44,Weiblich,Barsinghausen,Online_Desktop,Nein
R10390001,Tablet,Samsung,2016-03-25,1,286.0,1039,35,Weiblich,Grasleben,Online_Desktop,Nein
R10390000,Bluetooth Lautsprecher,Sony,2016-08-24,1,574.39,1039,35,Weiblich,Grasleben,Online_App,Nein
R10390000,WLAN-Router,AVM,2016-08-24,1,431.0,1039,35,Weiblich,Grasleben,Online_App,Nein
R10390000,Kaffeemaschine,Philips,2016-08-24,1,207.49,1039,35,Weiblich,Grasleben,Online_App,Nein
R10390000,Mikrowelle,LG,2016-08-24,1,304.59,1039,35,Weiblich,Grasleben,Online_App,Ja
R10400000,Film-DVD,,2016-03-22,1,41.19,1040,30,Männlich,Adenbüttel,Store,Ja
R10400000,Wasserkocher,Bosch,2016-03-22,1,33.99,1040,30,Männlich,Adenbüttel,Store,Ja
R10410000,Kaffeevollautomat,Melitta,2016-07-19,1,1821.19,1041,52,Männlich,Bad Harzburg,Store,Nein
R10410000,Rasierer,Braun,2016-07-19,1,88.79,1041,52,Männlich,Bad Harzburg,Store,Nein
R10410000,Tablet,Acer,2016-07-19,1,528.0,1041,52,Männlich,Bad Harzburg,Store,Ja
R10410001,Rasierer,Grundig,2016-02-28,1,140.99,1041,52,Männlich,Bad Harzburg,Store,Nein
R10420000,Mikrowelle,LG,2016-04-01,1,372.29,1042,64,Männlich,Sehnde,Online_App,Nein
R10420000,Smartphone,Apple,2016-04-01,1,361.89,1042,64,Männlich,Sehnde,Online_App,Nein
R10430000,Smartphone,Huawei,2016-09-17,1,1086.79,1043,15,Männlich,Leiferde,Online_App,Nein
R10430000,Massagegerät,Lacamax,2016-09-17,1,714.99,1043,15,Männlich,Leiferde,Online_App,Nein
R10440000,Kaffeemaschine,Braun,2016-04-09,1,206.59,1044,45,Männlich,Nienburg,Store,Ja
R10440000,PC-Spiel,EA,2016-04-09,1,31.0,1044,45,Männlich,Nienburg,Store,Nein
R10440000,Kabel,,2016-04-09,1,15.33,1044,45,Männlich,Nienburg,Store,Nein
R10440000,Batterien,Varta,2016-04-09,1,1.99,1044,45,Männlich,Nienburg,Store,Nein
R10450001,Haarföhn,Philips,2016-12-25,1,146.39,1045,29,Männlich,Seesen,Online_App,Nein
R10450001,USB-Stick,Sandisk,2016-12-25,1,32.89,1045,29,Männlich,Seesen,Online_App,Nein
R10450000,Film-DVD,,2016-09-24,1,17.0,1045,29,Männlich,Seesen,Store,Nein
R10450000,Waschmaschine,LG,2016-09-24,1,334.79,1045,29,Männlich,Seesen,Store,Ja
R10450000,In-Ear Kopfhörer,JBL,2016-09-24,1,60.69,1045,29,Männlich,Seesen,Store,Nein
R10460001,Wasserkocher,Braun,2016-12-07,1,58.19,1046,20,Weiblich,Gifhorn,Online_Desktop,Ja
R10460001,Kaffeemaschine,Philips,2016-12-07,1,346.59,1046,20,Weiblich,Gifhorn,Online_Desktop,Nein
R10460000,WLAN-Router,AVM,2016-04-25,1,209.29,1046,20,Weiblich,Gifhorn,Online_App,Nein
R10460000,Tablet,Xiaomi,2016-04-25,1,334.0,1046,20,Weiblich,Gifhorn,Online_App,Nein
R10460001,Heimkino System,LG,2016-12-07,1,2097.59,1046,20,Weiblich,Gifhorn,Online_Desktop,Ja
R10470001,Spielkonsole,Nintendo,2016-01-31,1,553.99,1047,34,Männlich,Adenbüttel,Online_App,Nein
R10470000,Digitalkamera,Panasonic,2016-04-24,1,100.99,1047,34,Männlich,Adenbüttel,Store,Nein
R10470001,Bluetooth Kopfhörer,LG,2016-01-31,1,304.99,1047,34,Männlich,Adenbüttel,Online_App,Nein
R10470000,USB-Stick,Samsung,2016-04-24,1,47.99,1047,34,Männlich,Adenbüttel,Store,Ja
R10490000,Smart-TV,Sony,2016-10-19,1,2233.0,1049,69,Weiblich,Hannover,Online_Desktop,Nein
R10490000,Staubsauger,Siemens,2016-10-19,1,256.89,1049,69,Weiblich,Hannover,Online_Desktop,Ja
R10500000,Digitalkamera,Fujifilm,2016-07-04,1,154.39,1050,65,Männlich,Sarstedt,Online_Desktop,Nein
R10510000,Bluetooth Kopfhörer,Xiaomi,2016-11-15,1,246.09,1051,67,Weiblich,Bockenem,Online_Desktop,Ja
R10510000,Mikrowelle,Samsung,2016-11-15,1,199.09,1051,67,Weiblich,Bockenem,Online_Desktop,Nein
R10520000,Elektrische Zahnbürste,Philips,2016-05-06,1,56.59,1052,66,Weiblich,Nienburg,Online_Desktop,Ja
R10520000,PC-Spiel,Ubisoft,2016-05-06,2,28.0,1052,66,Weiblich,Nienburg,Online_Desktop,Ja
R10520000,Digitalkamera,Nikon,2016-05-06,1,517.09,1052,66,Weiblich,Nienburg,Online_Desktop,Nein
R10530000,Toaster,Braun,2016-11-24,1,33.29,1053,36,Männlich,Göttingen,Online_App,Nein
R10530000,Convertible Laptop,Microsoft,2016-11-24,1,993.0,1053,36,Männlich,Göttingen,Online_App,Nein
R10530001,Kaffeemaschine,Philips,2016-02-10,1,248.49,1053,36,Männlich,Göttingen,Online_App,Nein
R10530001,Kaffeemaschine,Braun,2016-02-10,1,106.19,1053,36,Männlich,Göttingen,Online_App,Ja
R10530001,Film-DVD,,2016-02-10,1,29.0,1053,36,Männlich,Göttingen,Online_App,Nein
R10530002,Tablet,Xiaomi,2016-10-18,1,624.39,1053,36,Männlich,Göttingen,Online_App,Nein
R10530002,Mikrowelle,LG,2016-10-18,1,171.29,1053,36,Männlich,Göttingen,Online_App,Nein
R10540000,Film-DVD,,2016-05-13,1,38.0,1054,59,Männlich,Peine,Store,Ja
R10540000,Film-DVD,,2016-05-13,1,32.39,1054,59,Männlich,Peine,Store,Nein
R10540000,Mikrowelle,LG,2016-05-13,1,403.19,1054,59,Männlich,Peine,Store,Ja
R10550000,Digitalkamera,Fujifilm,2016-04-25,1,411.59,1055,52,Männlich,Mandelsloh,Online_App,Nein
R10560000,Elektrische Zahnbürste,Philips,2016-05-15,1,47.69,1056,52,Weiblich,Springe,Online_App,Nein
R10560000,Digitalkamera,Panasonic,2016-05-15,1,866.09,1056,52,Weiblich,Springe,Online_App,Ja
R10560001,WLAN-Router,TP-Link,2016-10-31,1,405.0,1056,52,Weiblich,Springe,Store,Nein
R10560001,USB-Stick,Philips,2016-10-31,1,23.29,1056,52,Weiblich,Springe,Store,Nein
R10560000,Wasserkocher,Braun,2016-05-15,1,90.09,1056,52,Weiblich,Springe,Online_App,Ja
R10570000,Mikrowelle,Sharp,2016-03-08,2,439.19,1057,58,Männlich,Bad Harzburg,Online_App,Nein
R10570000,Drucker,HP,2016-03-08,2,57.44,1057,58,Männlich,Bad Harzburg,Online_App,Ja
R10570001,In-Ear Kopfhörer,JBL,2016-02-23,1,49.79,1057,58,Männlich,Bad Harzburg,Store,Nein
R10570000,Wasserkocher,Philips,2016-03-08,1,36.09,1057,58,Männlich,Bad Harzburg,Online_App,Nein
R10580000,Business-Laptop,Lenovo,2016-02-24,2,1804.0,1058,64,Männlich,Lutter,Store,Nein
R10580001,Wasserkocher,Braun,2016-12-21,1,81.79,1058,64,Männlich,Lutter,Store,Nein
R10580001,Digitalkamera,Panasonic,2016-12-21,1,71.79,1058,64,Männlich,Lutter,Store,Ja
R10590000,Waschmaschine,LG,2016-09-28,1,1011.29,1059,62,Männlich,Lutter,Store,Nein
R10590002,Mikrowelle,Exquisit,2016-09-11,1,538.39,1059,62,Männlich,Lutter,Online_App,Ja
R10590000,Convertible Laptop,Samsung,2016-09-28,1,1108.0,1059,62,Männlich,Lutter,Store,Nein
R10590001,Digitalkamera,Canon,2016-03-30,1,817.29,1059,62,Männlich,Lutter,Store,Nein
R10590001,Haarföhn,Panasonic,2016-03-30,2,156.29,1059,62,Männlich,Lutter,Store,Nein
R10600001,Kühlschrank,Bosch,2016-06-25,1,174.29,1060,51,Männlich,Hameln,Online_Desktop,Nein
R10600000,Digitalkamera,Panasonic,2016-12-03,1,909.09,1060,51,Männlich,Hameln,Online_App,Nein
R10600000,Heimkino System,LG,2016-12-03,1,1383.0,1060,51,Männlich,Hameln,Online_App,Ja
R10600000,Bluetooth Kopfhörer,Huawei,2016-12-03,1,712.99,1060,51,Männlich,Hameln,Online_App,Nein
R10600000,Film-DVD,,2016-12-03,1,39.39,1060,51,Männlich,Hameln,Online_App,Ja
R10600000,Spiegelreflexkamera,Canon,2016-12-03,1,1156.99,1060,51,Männlich,Hameln,Online_App,Ja
R10610000,Gaming-Laptop,Samsung,2016-08-23,1,1531.49,1061,56,Weiblich,Springe,Online_App,Nein
R10610001,Drucker,HP,2016-07-27,2,133.2,1061,56,Weiblich,Springe,Online_Desktop,Ja
R10610000,Tablet,Xiaomi,2016-08-23,1,258.0,1061,56,Weiblich,Springe,Online_App,Nein
R10610001,PC-Spiel,Konami,2016-07-27,2,41.19,1061,56,Weiblich,Springe,Online_Desktop,Ja
R10610001,Spiegelreflexkamera,Panasonic,2016-07-27,1,1234.39,1061,56,Weiblich,Springe,Online_Desktop,Nein
R10620000,USB-Stick,Sandisk,2016-02-05,1,7.49,1062,60,Weiblich,Lengede,Store,Nein
R10620000,Kaffeevollautomat,Krups,2016-02-05,1,1715.19,1062,60,Weiblich,Lengede,Store,Nein
R10620000,Wasserkocher,Philips,2016-02-05,1,64.09,1062,60,Weiblich,Lengede,Store,Ja
R10630000,Smart-TV,Philips,2016-10-18,2,1313.0,1063,28,Weiblich,Hameln,Store,Nein
R10630000,PC-Spiel,EA,2016-10-18,1,22.29,1063,28,Weiblich,Hameln,Store,Nein
R10630000,Smart-TV,Samsung,2016-10-18,1,5352.49,1063,28,Weiblich,Hameln,Store,Ja
R10640001,Staubsauger,Bosch,2016-12-03,1,66.49,1064,33,Weiblich,Steinhude,Store,Nein
R10640001,Spiegelreflexkamera,Panasonic,2016-12-03,1,406.79,1064,33,Weiblich,Steinhude,Store,Ja
R10640000,Kaffeemaschine,Melitta,2016-09-15,1,101.69,1064,33,Weiblich,Steinhude,Store,Nein
R10640001,Kaffeevollautomat,Melitta,2016-12-03,1,1875.79,1064,33,Weiblich,Steinhude,Store,Nein
R10650002,Bügeleisen,Philips,2016-11-07,1,414.1,1065,58,Männlich,Elze,Store,Nein
R10650002,Spielkonsole,Sony,2016-11-07,1,478.0,1065,58,Männlich,Elze,Store,Nein
R10650000,PC-Spiel,Ubisoft,2016-08-12,1,31.0,1065,58,Männlich,Elze,Store,Nein
R10650002,Digitalkamera,Canon,2016-11-07,1,219.19,1065,58,Männlich,Elze,Store,Nein
R10650002,Bluetooth Kopfhörer,JBL,2016-11-07,1,184.09,1065,58,Männlich,Elze,Store,Nein
R10650001,Mikrowelle,Bosch,2016-05-01,1,534.19,1065,58,Männlich,Elze,Store,Ja
R10650000,Bluetooth Kopfhörer,Huawei,2016-08-12,2,328.89,1065,58,Männlich,Elze,Store,Nein
R10660002,Smartphone,Samsung,2016-01-31,1,762.29,1066,62,Männlich,Wolfsburg,Online_App,Nein
R10660002,Waschmaschine,Grundig,2016-01-31,1,816.0,1066,62,Männlich,Wolfsburg,Online_App,Ja
R10660001,PC-Spiel,EA,2016-05-23,2,27.0,1066,62,Männlich,Wolfsburg,Online_Desktop,Nein
R10660000,Digitalkamera,Canon,2016-03-08,1,228.49,1066,62,Männlich,Wolfsburg,Online_Desktop,Nein
R10670000,Batterien,Varta,2016-01-08,1,37.99,1067,50,Weiblich,Steinhude,Online_Desktop,Nein
R10670000,Mikrowelle,Sharp,2016-01-08,1,403.19,1067,50,Weiblich,Steinhude,Online_Desktop,Ja
R10670000,Smart-TV,Siemens,2016-01-08,1,1776.19,1067,50,Weiblich,Steinhude,Online_Desktop,Nein
R10670000,Kaffeemaschine,Melitta,2016-01-08,1,466.69,1067,50,Weiblich,Steinhude,Online_Desktop,Nein
R10680000,Smart-TV,Sony,2016-08-27,2,1859.29,1068,45,Männlich,Wunstorf,Online_App,Ja
R10690000,Spiegelreflexkamera,Nikon,2016-10-30,1,1262.69,1069,14,Weiblich,Schöningen,Online_App,Nein
R10700000,Rasierer,Philips,2016-02-17,1,64.69,1070,26,Weiblich,Lutter,Online_Desktop,Nein
R10700001,Kaffeemaschine,Melitta,2016-02-04,1,336.29,1070,26,Weiblich,Lutter,Online_App,Nein
R10700000,WLAN-Router,TP-Link,2016-02-17,1,415.0,1070,26,Weiblich,Lutter,Online_Desktop,Ja
